name,domain,job_code,job_family,locale,id
Manufacturing Trainer II_51084910,JGP,51084910,JGP_JobFamily,en_US,2860262864613020700
Accountant I_51016107,JGP,51016107,JGP_JobFamily,en_US,2860262864613020701
Business Development Anal_51016148,JGP,51016148,JGP_JobFamily,en_US,2860262864613020702
Industrial Engineering Te_51016395,JGP,51016395,JGP_JobFamily,en_US,2860262864613020703
Measurement Technician  I_40000101,JGP,40000101,JGP_JobFamily,en_US,2860262864613020704
Assistant Costing Manager_51802798,JGP,51802798,JGP_JobFamily,en_US,2860262864613020705
Assembler_30000479,JGP,30000479,JGP_JobFamily,en_US,2860262864613020706
Workcell Manager_51016170,JGP,51016170,JGP_JobFamily,en_US,2860262864613020707
Test Engineer IV_51024645,JGP,51024645,JGP_JobFamily,en_US,2860262864613020708
Manufacturing Engineer II_51016408,JGP,51016408,JGP_JobFamily,en_US,2860262864613020709
Quality Engineer IV_51084893,JGP,51084893,JGP_JobFamily,en_US,2860262864613020712
Test Engineer II_51016431,JGP,51016431,JGP_JobFamily,en_US,2860262864613020713
CAM Technician IV_51393327,JGP,51393327,JGP_JobFamily,en_US,2860262864613020714
Site Quality_51549302,JGP,51549302,JGP_JobFamily,en_US,2860262864613020715
Business Systems Analyst_51071702,JGP,51071702,JGP_JobFamily,en_US,2860262864613020716
Sr. Warehouse Supervisor_51221399,JGP,51221399,JGP_JobFamily,en_US,2860262864613020717
Process Technician II - D_51050202,JGP,51050202,JGP_JobFamily,en_US,2860262864613020718
Manufacturing Engineering_51016417,JGP,51016417,JGP_JobFamily,en_US,2860262864613020719
Assistant Customs Manager_51084883,JGP,51084883,JGP_JobFamily,en_US,2860262864613020721
Machinery & Equipment Eng_51394962,JGP,51394962,JGP_JobFamily,en_US,2860262864613020723
"Analyst 4, Business Relat_10002570",JGP,10002570,JGP_JobFamily,en_US,2860262864613020724
Guest Service Supervisor_51283986,JGP,51283986,JGP_JobFamily,en_US,2860262864621409334
Assistant Manufacturing E_51016403,JGP,51016403,JGP_JobFamily,en_US,2860262864621409335
Business Systems Analyst_51260715,JGP,51260715,JGP_JobFamily,en_US,2860262864621409336
Line Leader_51029772,JGP,51029772,JGP_JobFamily,en_US,2860262864621409337
Operations Project Manage_51020468,JGP,51020468,JGP_JobFamily,en_US,2860262864621409338
Supply Chain Project Mana_51842332,JGP,51842332,JGP_JobFamily,en_US,2860262864621409339
Molding Technician II_51637105,JGP,51637105,JGP_JobFamily,en_US,2860262864621409340
Operations Project Manage_51741600,JGP,51741600,JGP_JobFamily,en_US,2860262864621409341
Manufacturing Engineer II_51016409,JGP,51016409,JGP_JobFamily,en_US,2860262864621409342
Machinist II_51712284,JGP,51712284,JGP_JobFamily,en_US,2860262864621409343
Operations Project Manage_51747580,JGP,51747580,JGP_JobFamily,en_US,2860262864621409344
Tooling Room Supervisor_51579926,JGP,51579926,JGP_JobFamily,en_US,2860262864621409345
Test Engineering Technici_51016436,JGP,51016436,JGP_JobFamily,en_US,2860262864621409346
Assistant Industrial Engi_51024211,JGP,51024211,JGP_JobFamily,en_US,2860262864621409347
Lead I_52083521,JGP,52083521,JGP_JobFamily,en_US,2860262864621409348
Quality Engineer II_51016421,JGP,51016421,JGP_JobFamily,en_US,2860262864621409349
Assembler II_51207206,JGP,51207206,JGP_JobFamily,en_US,2860262864621409350
Planner I_51955502,JGP,51955502,JGP_JobFamily,en_US,2860262864621409351
Test Engineer I_51016430,JGP,51016430,JGP_JobFamily,en_US,2860262864621409352
Tooling CAD Technician  I_40000107,JGP,40000107,JGP_JobFamily,en_US,2860262864621409353
Field Service Technician_51570963,JGP,51570963,JGP_JobFamily,en_US,2860262864621409354
Out of Box Audit Inspecto_51024486,JGP,51024486,JGP_JobFamily,en_US,2860262864621409355
Maintenance Technician IV_51016453,JGP,51016453,JGP_JobFamily,en_US,2860262864621409356
Manufacturing Engineering_51016416,JGP,51016416,JGP_JobFamily,en_US,2860262864621409357
Supply Chain Project Mana_51084782,JGP,51084782,JGP_JobFamily,en_US,2860262864621409358
Assistant Quality Enginee_51084894,JGP,51084894,JGP_JobFamily,en_US,2860262864621409359
Strategic Planning Techni_51363313,JGP,51363313,JGP_JobFamily,en_US,2860262864621409360
Sr. Machine Operator II_51583935,JGP,51583935,JGP_JobFamily,en_US,2860262864621409361
Sr. Maintenance Technicia_51579824,JGP,51579824,JGP_JobFamily,en_US,2860262864621409362
Tooling Manufacturing Dev_51565681,JGP,51565681,JGP_JobFamily,en_US,2860262864621409363
Quality Engineer III_51016422,JGP,51016422,JGP_JobFamily,en_US,2860262864621409364
Sr. Business Development_51079905,JGP,51079905,JGP_JobFamily,en_US,2860262864621409365
Quality Leader_51121957,JGP,51121957,JGP_JobFamily,en_US,2860262864621409366
Process Technician_51050201,JGP,51050201,JGP_JobFamily,en_US,2860262864629797975
Planner II_51955553,JGP,51955553,JGP_JobFamily,en_US,2860262864629797976
Assistant Planning Manage_51058201,JGP,51058201,JGP_JobFamily,en_US,2860262864629797977
V9,JGP,51083195,JGP_JobFamily,en_US,2860262864613020710
V9,JGP,51016414,JGP_JobFamily,en_US,2860262864613020711
v10,JGP,51030498,JGP_JobFamily,en_US,2860262864613020720
v10,JGP,51069511,JGP_JobFamily,en_US,2860262864613020722
v10,JGP,51712283,JGP_JobFamily,en_US,2860262864613020725
Shipping & Receiving Lead_51084891,JGP,51084891,JGP_JobFamily,en_US,2860262864629797978
Human Resources Generalis_51177776,JGP,51177776,JGP_JobFamily,en_US,2860262864629797979
Project Manager II_51306302,JGP,51306302,JGP_JobFamily,en_US,2860262864629797980
Business Unit Program Man_51222973,JGP,51222973,JGP_JobFamily,en_US,2860262864629797981
Supply Chain Program Mana_51839130,JGP,51839130,JGP_JobFamily,en_US,2860262864629797982
Lead Manufacturing  Techn_40000099,JGP,40000099,JGP_JobFamily,en_US,2860262864629797983
Supplier Quality Engineer_51576239,JGP,51576239,JGP_JobFamily,en_US,2860262864629797984
Operator IV_51084912,JGP,51084912,JGP_JobFamily,en_US,2860262864629797985
Business Unit Manager_51016156,JGP,51016156,JGP_JobFamily,en_US,2860262864629797986
Failure Analysis Technici_51084645,JGP,51084645,JGP_JobFamily,en_US,2860262864629797987
Production Supervisor_51016097,JGP,51016097,JGP_JobFamily,en_US,2860262864629797988
Repair Universal Operator_51193159,JGP,51193159,JGP_JobFamily,en_US,2860262864629797989
Sr. Production Supervisor_51084900,JGP,51084900,JGP_JobFamily,en_US,2860262864629797990
Independent Contractor_51847037,JGP,51847037,JGP_JobFamily,en_US,2860262864629797991
Administrative Assistant_51086300,JGP,51086300,JGP_JobFamily,en_US,2860262864629797992
Master Planner_51016364,JGP,51016364,JGP_JobFamily,en_US,2860262864629797993
Buyer I_51016368,JGP,51016368,JGP_JobFamily,en_US,2860262864629797994
Tooling Manufacturing Dev_51565680,JGP,51565680,JGP_JobFamily,en_US,2860262864629797995
Diagnostic Technician III_51050366,JGP,51050366,JGP_JobFamily,en_US,2860262864629797996
Manufacturing Engineering_51016413,JGP,51016413,JGP_JobFamily,en_US,2860262864629797997
Industrial Engineer III_51076498,JGP,51076498,JGP_JobFamily,en_US,2860262864629797998
Measurement Technician  I_40000100,JGP,40000100,JGP_JobFamily,en_US,2860262864629797999
Quality Supervisor_51016137,JGP,51016137,JGP_JobFamily,en_US,2860262864629798000
Engineer I_51573230,JGP,51573230,JGP_JobFamily,en_US,2860262864629798001
Site Controller II_51579905,JGP,51579905,JGP_JobFamily,en_US,2860262864629798002
Buyer III_51049730,JGP,51049730,JGP_JobFamily,en_US,2860262864629798003
Demo,jGP,13456,JGP_JobFamily,zh,2860332996345467998
